conc, depth
0.07901872003285582, 0.1591017413751541
0.24894476617622385, 0.29973774782382945
0.42892349444578426, 0.3582532646023764
0.6089456163529896, 0.4081286259742538
0.7890038996248994, 0.45080385784057153
0.9690802635791618, 0.4898790249541096
1.1491855566251867, 0.5231940884632014
1.3293089303535643, 0.552909087219513
1.509461233173705, 0.5768639823713775
1.6895665262197304, 0.6101790458804692
1.8696862838116373, 0.6406140575873369
2.049806041403544, 0.671049069294205
2.2299221828589806, 0.7022040939516287
2.4100093952226533, 0.7391192222134992
2.590114688268679, 0.7724342857225905
2.770219981314704, 0.8057493492316823
2.9503180420877886, 0.8405044386418852
3.130370642859531, 0.8843111194305049
3.310463537723372, 0.9200947987700743
3.4905652146329267, 0.9541298752297207
3.6706379624507175, 0.9939250552938153
3.8507034779955687, 1.0351602612590214
4.030758145131008, 1.0785555060758951
4.2108236606758584, 1.1197907120411013
4.390881943947768, 1.162465943907419
4.570922146537326, 1.2087412405265163
4.750937036171591, 1.2600566277995053
4.930973622624678, 1.3070519373691578
5.1109848961224715, 1.3590873375927024
5.290960008255562, 1.4183228673218058
5.470942352661592, 1.4761183711497967
5.65089215183939, 1.5403939915327913
5.830820254198365, 1.6089896896191211
6.010719427465576, 1.6833454913098977
6.1905679748222004, 1.7677814743084568
6.370351431722358, 1.8651776904170219
6.550058949756635, 1.9776941784872606
6.721395473475526, 2.1254104603949764
6.868080975682347, 2.2867444693816097
6.949089845699647, 2.472560204424555
7.0081475016937, 2.6782847261295073
6.999118008927046, 2.844598878263212
6.982776274944453, 2.990689812058956
6.913684775848533, 3.1771545026519297
6.845426583832777, 3.353084988464679
6.744395266626964, 3.5282761038358395
6.636055496538655, 3.7083874505621788
6.51586114715582, 3.8921820956812407
6.408490306485015, 4.060653072323083
6.292891205571217, 4.235903903054032
6.186331068257684, 4.424239076270145
6.069889063152329, 4.586037254319868
5.954262496821054, 4.766756754841945
5.8303605528495615, 4.963637706767217
5.731165961760489, 5.135684729872689
5.6155428680682045, 5.3157127893866924
5.512269820330912, 5.484046754635599
5.393573046513136, 5.693379327206361
5.30614778143135, 5.8528201796926425
5.213581558447744, 6.056947960943035
5.123340330407799, 6.240994923100412
5.024849248624225, 6.436121245251646
4.94527435752427, 6.617407648827499
4.862413844827287, 6.800274545116694
4.7858713252335505, 6.994148514385263
4.698835741905696, 7.184299077396852
4.621865373098566, 7.38096065037625
4.547137370516747, 7.576112606917129
4.472396440247047, 7.773838609756246
4.403994054789532, 7.97847961197241
4.331002340133988, 8.19048583594929
4.265664953204486, 8.380499802116216
4.2131472866535695, 8.581842148062126
4.147642976281638, 8.805092426321675
4.089229384327439, 9.014980326482913
4.039130947514631, 9.200786632784837
3.997250731861186, 9.381811978093722
3.955270883038131, 9.582675394506971
3.913345207383342, 9.772752331194273
3.8696966577634253, 9.952420940853955
