rate, depth
133.32162807181834, 0.09894847734056444
122.6821956469433, 0.490606527634172
108.48761518302474, 1.079147076610937
93.10104892149018, 1.7863789773503198
83.81585022467603, 2.3181490079790867
71.7571548411011, 3.0671686923272015
63.43796536543174, 3.7089681811974513
54.318916352900615, 4.469693127060614
43.98317043511055, 5.538149398154471
35.61065699031714, 6.587877250824245
29.018318734271062, 7.519264909576854
24.794345058103616, 8.332663532257747
21.171566619195332, 9.046918589906163
19.54323468399045, 9.503657894223451
18.50829447836803, 9.920950467235023
