k, depth
201.5923566878981, 0.003960396039604186
197.4522292993631, 0.08712871287128743
186.6242038216561, 0.24158415841584224
177.70700636942675, 0.45544554455445585
166.24203821656053, 0.6811881188118813
156.05095541401278, 0.9069306930693073
145.859872611465, 1.1564356435643566
136.9426751592357, 1.3702970297029706
126.1146496815287, 1.6435643564356441
119.1082802547771, 1.8455445544554454
108.28025477707007, 2.178217821782179
101.91082802547774, 2.4277227722772277
93.63057324840767, 2.6534653465346536
88.53503184713378, 2.9029702970297033
78.343949044586, 3.271287128712872
75.79617834394907, 3.4495049504950495
68.15286624203824, 3.805940594059406
64.33121019108285, 3.9960396039603965
60.50955414012742, 4.281188118811881
55.41401273885353, 4.542574257425743
51.5923566878981, 4.792079207920793
49.04458598726117, 4.994059405940593
43.31210191082806, 5.314851485148514
42.675159235668815, 5.564356435643564
37.579617834394924, 5.861386138613861
35.66878980891724, 6.0514851485148515
32.48407643312106, 6.360396039603959
29.9363057324841, 6.526732673267327
29.299363057324868, 6.693069306930692
28.025477707006402, 6.859405940594058
27.388535031847155, 7.0613861386138606
24.203821656050977, 7.31089108910891
21.974522292993655, 7.607920792079208
21.33757961783442, 7.786138613861386
19.745222929936332, 7.940594059405939
19.108280254777085, 8.166336633663366
15.923566878980907, 8.415841584158416
15.286624203821674, 8.605940594059406
15.286624203821674, 8.843564356435643
14.649681528662455, 8.986138613861385
14.331210191082832, 9.205940594059404
12.738853503184757, 9.437623762376237
12.420382165605133, 9.615841584158416
0, 12
